Vineyard,Variety,Area,Block,"Total Rows","Rows Numbers","Row Width","Vine Spacing",VinesHa,"Total Vines",Clone,"Source Vineyard","Plant Date"
Amarok,,20.409377186843948,,,,,,,29165,,,
Amarok:,Shiraz,1.4254723582925122,1,17,"1 to 17",3.5,2,1429,2037,,,
Amarok:,Merlot,2.013296011196641,2,24,"1 to 24",3.5,2,1429,2877,,,
Amarok:,"Chenin Blanc",1.13296011196641,3,19,"1 to 19",3.5,2,1429,1619,,,
Amarok:,"Sauv Blanc",1.8866340097970609,4,18,"1 to 18",3.5,2,1429,2696,,,
Amarok:,Semillon,2.4555633310007,5,16,"1 to 16",3.5,2,1429,3509,,,
Amarok:,Shiraz,2.6466060181945417,6,40,"1 to 40",3.5,2,1429,3782,,,
Amarok:,Shiraz,2.277816655003499,7,28,"1 to 28",3.5,2,1429,3255,,,
Amarok:,"Cab Sauv",1.3596920923722884,8,16,"1 to 16",3.5,2,1429,1943,,,
Amarok:,"Cab Sauv",5.211336599020294,9,43,"1 to 43",3.5,2,1429,7447,,,
Brambles,,3.8418978034439317,,,,,,,#REF!,,,
Brambles,"Cab Sauv",0.102,EB1,,,1.4,0.75,9524,975,"Sheena Houghton",Wagtail,2024
Brambles,"Cab Sauv",0.065,EB1,,,1.4,0.75,9524,621," Houghton Woodlands",Wagtail,2024
Brambles,"Cab Sauv",0.214,EB2,,,1.4,0.75,9524,2034,M412,ARM,2024
Brambles,"Cab Sauv",0.108,EB2,,,1.4,0.75,9524,1028,M337,ARM,2025
Brambles,"Cab Sauv",0.276,EB2,,,1.4,0.75,9524,2624,M337,ARM,2024
Brambles,"Cab Sauv",0.23,EB3,,,1.4,0.75,9524,2192.6666666666665,Houghtons,ARM,2024
Brambles,"Cab Sauv",0.23,EB3,,,1.4,0.75,9524,2192.6666666666665,M337,ARM,2024
Brambles,"Cab Sauv",0.23,EB3,,,1.4,0.75,9524,2192.6666666666665,M191,ARM,2025
Brambles,Merlot,0.20719999999999997,EB4,,,1.4,0.75,9524,1973.3333333333333,181,ARM,2024
Brambles,Merlot,0.09323813523729525,EB4,,,1.4,0.75,9524,888,181,ARM,2025
Brambles,"Pinot Noir",0.10359792804143916,EB4,,,1.4,0.75,9524,986.6666666666666,MV6,ARM,2025
Brambles,"Petit Verdot",0.08259999999999999,"RB 1",,,1.4,0.75,9524,786.6666666666666,"Petrus CH8",ARM,2025
Brambles,"Cab Franc",0.053689999999999995,"RB 1",,,1.4,0.75,9524,511.3333333333333,M214,ARM,2024
Brambles,"Cab Sauv ",0.12802999999999998,"RB 1",,,1.4,0.75,9524,1219.3333333333333,M337,ARM,2025
Brambles,"Cab Sauv ",0.15694,"RB 1",,,1.4,0.75,9524,1494.6666666666667,"Houghtons ","Vic Point",2025
Brambles,"Cab Sauv ",0.09911801763964721,"RB 1",,,1.4,0.75,9524,944,"Houghtons Willespie",Wagtail,2025
Brambles,"Cab Sauv ",0.3138737225255495,"RB 1",,,1.4,0.75,9524,2989.3333333333335,"Houghtons Mosswood",Wagtail,2025
Brambles,"Cab Sauv ",0.04564,RB2,,,1.4,0.75,9524,434.6666666666667,M337,ARM,2025
Brambles,"Cab Sauv ",0.19396999999999998,RB2,,,1.4,0.75,9524,1847.3333333333333,M412,ARM,2025
Brambles,Malbec,0.342,RB3,,,1.4,0.75,9524,3260,Cl1056,ARM,2025
Brambles,Chardonnay,0.20635999999999996,WB1,,,1.4,0.75,9524,1965.3333333333333,Gingin,ARM,2024
Brambles,Chardonnay,0.36063999999999996,WB1,,,1.4,0.75,9524,3434.6666666666665,Gingin,ARM,2024
Buckingham,,0.2549490101979604,,,,,,,,,,
Buckingham,"Cab Sauv",0.14997000599880023,1,12,,3,2,1667,250,,,2007
Buckingham,Shiraz,0.07978404319136173,2,7,,3,2,1667,133,,,2007
Buckingham,Merlot,0.02519496100779844,3,2,,3,2,1667,42,,,2007
Burnside,,3.8936999999999995,,,,,,,33222.0044,,,
Burnside,Chardonnay,0.496,1,41,"1 to 41",1.3,1,7692,3815.232,95,"Victory Point",2020
Burnside,"Pinot Noir",0.185,2,9,"42 to 50",1.3,0.75,10256,1897.36,777,"Glen Harding",
Burnside,"Pinot Noir",0.187,3,8,"51 to 58",1.3,0.75,10256,1917.872,115,"Glen Harding",
Burnside,Chardonnay,1.342,4,60,"59 to 118",1.3,1,7692,10322.664,Gingin,Forrest,2020
Burnside,Chardonnay,0.295,5,17,"119 to 135",1.3,1,7692,2269.14,96,"Victory Point",2021/2021
Burnside,Chardonnay,0.323,6,23,"136 to 155",1.3,1,7692,2484.516,277,"Victory Point",2021/2022
Burnside,"Pinot Noir",0.201,7,30,"156 to 188",1.3,0.75,10256,2061.456,MV6,"Glen Harding",2022
Burnside,"Pinot Noir",0.0477,8,12,"189 to 200",1.3,0.75,7692,366.9084,Droopy,"Glen Harding",
Burnside,"Pinot Noir",0.05399999999999999,9,18,"201 to 218",1.3,0.75,10256,553.824,386,Kerfuffle,2022
Burnside,Chardonnay,0.114,10,19,"1 to 19",1.3,1,7692,876.888,95,"Vic Pt/ARM",2020/2022
Burnside,"Pinot Noir",0.10400000000000001,11,10,"1 to 10",1.3,0.75,10256,1066.624,115,"Victory Point",2021
Burnside,"Pinot Noir",0.11000000000000001,12,9,"1 to 9",1.3,0.75,10256,1128.16,777,"Victory Point",2021
Burnside,Chardonnay,0.43499999999999994,13,37,"1 to 37",1.3,1,10256,4461.36,Gingin,Forrest,2020
"Cape Falls",,5.1336,,,,,,,22899,,,
"Cape Falls",Chardonnay,0.663,B11-Chard,46,"1 to 45",2,1,5000,3315,Gingin,ARM,
"Cape Falls",Chardonnay,1.1478,B12-Chard,41,"1 to 41",2,1,5000,5739,Gingin,ARM,
"Cape Falls","Cab Sauv",1.30704,"B17-Cab Sauv",58,"1 to 58",2,1.2,4166.666666666667,5446,337,ARM,
"Cape Falls","Cab Franc",0.5131199999999999,"B17-Cab Franc",38,"59 - 95",2,1.2,4166.666666666667,2138,214,ARM,
"Cape Falls",Merlot,0.8853599999999999,B18-Merlot,49,"1 to 49",2,1.2,4166.666666666667,3689,181,ARM,
"Cape Falls","Cab Sauv",0.6172799999999999,"B18-Cab Sauv",49,"50 - 99",2,1.2,4166.666666666667,2572,337,ARM,
Collins,,0.14397120575884825,,,,,,,240,,,
Collins,Merlot,0.04799040191961608,2,,,3,2,1667,80,,,
Collins,"Cab Sauv",0.09598080383923216,1,,,3,2,1667,160,,,
"Chapman Creek/Yelverton",,20.148863023172737,,,7.556999999999999,,,,44474,,,
"Chapman Creek","Cab Franc",0.34743474347434744,1,19,"1 to 19",3,1.5,2222,772,,,
"Chapman Creek","Chenin Blanc",0.9846269216347957,2a,19,"1 to 19",2.5,1.5,2667,2626,,,
