name,active_ingredient
Sulphur,Sulphur
Canola oil,Canola oil
Sulphur,Sulphur
Seeker Duo,Fenpropidan and Difenoconazole
Sulphur,Sulphur
Vitiwet,Ethoxylated Octyl Phenol
Sulphur,Sulphur
Intervene,113g/kg Poloxin-D Zinc Salt
Tribase Blue,Tribasic Copper Sulphate
Vitiwet,Ethoxylated Octyl Phenol
Sulphur,Sulphur
Vivando,500 g/L METRAFENONE
Tribase Blue,Tribasic Copper Sulphate
Polyfeed,NPK
Vitiwet,Ethoxylated Octyl Phenol
Digger EW,125g/kg Difenoconazole
Sulphur,Sulphur
Dragon 700WG,700g/kg Dithianon 
Vitiwet,Ethoxylated Octyl Phenol
Kusabi,300 g/L PYRIOFENONE
Sulphur,Sulphur
Revus,250g/L Mandipropamid
Migiwa,218 g/L IPFLUFENOQUIN
Vitiwet,Ethoxylated Octyl Phenol
Sulphur,Sulphur
Switch,375g/kg Cyprodinil 250g/kg Fludioxonil
Vitiwet,Ethoxylated Octyl Phenol
Sulphur,Sulphur
Vitiwet,Ethoxylated Octyl Phenol
Sulphur,Sulphur
Vitiwet,Ethoxylated Octyl Phenol
