"Vineyard Name","Variety Name",WineColour,"Management Unit Variety Name Modifier","Management Unit Area","Management Unit Name","Management Unit Rows Total","Rows Numbers","Management Unit Row Width","Vine Spacing",VinesHa,"Total Vines",Clone,"Source Vineyard","Plant Date",Status
Twinwoods,"Cabernet Sauvignon",red,Cane,1.06,1a,32,,3,2,1667,1776,None,None,None,Active
Twinwoods,"Cabernet Sauvignon",red,Spur,1.06,1b,30,,3,2,1667,1776,None,None,None,Active
Twinwoods,Shiraz,red,None,2.13,2,64,,3,2,1667,3551,None,None,None,Active
Twinwoods,"Cabernet Sauvignon",red,None,2.48,3,75,,2.8,2,1785,4427,None,None,None,Active
Amarok,"Cabernet Sauvignon",red,,1.3596920923722884,8,16,"1 to 16",3.5,2,1429,1943,,,,Active
Amarok,"Cabernet Sauvignon",red,,5.211336599020294,9,43,"1 to 43",3.5,2,1429,7447,,,,Active
Amarok,"Chenin Blanc",white,,1.13296011196641,3,19,"1 to 19",3.5,2,1429,1619,,,,Active
Amarok,Merlot,red,,2.013296011196641,2,24,"1 to 24",3.5,2,1429,2877,,,,Active
Amarok,"Sauvignon Blanc",white,,1.8866340097970609,4,18,"1 to 18",3.5,2,1429,2696,,,,Active
Amarok,Semillon,white,,2.4555633310007,5,16,"1 to 16",3.5,2,1429,3509,,,,Active
Amarok,Shiraz,red,,1.4254723582925122,1,17,"1 to 17",3.5,2,1429,2037,,,,Active
Amarok,Shiraz,red,,2.277816655003499,7,28,"1 to 28",3.5,2,1429,3255,,,,Active
Amarok,Shiraz,red,,2.6466060181945417,6,40,"1 to 40",3.5,2,1429,3782,,,,Active
Brambles,"Cabernet Franc",red,,0.053689999999999995,"RB 1",,,1.4,0.75,9524,511.3333333333333,M214,ARM,2024,Active
Brambles,"Cabernet Sauvignon",red,,0.065,EB1,,,1.4,0.75,9524,621," Houghton Woodlands",Wagtail,2024,Active
Brambles,"Cabernet Sauvignon",red,,0.102,EB1,,,1.4,0.75,9524,975,"Sheena Houghton",Wagtail,2024,Active
Brambles,"Cabernet Sauvignon",red,,0.108,EB2,,,1.4,0.75,9524,1028,M337,ARM,2025,Active
Brambles,"Cabernet Sauvignon",red,,0.214,EB2,,,1.4,0.75,9524,2034,M412,ARM,2024,Active
Brambles,"Cabernet Sauvignon",red,,0.23,EB3,,,1.4,0.75,9524,2192.6666666666665,Houghtons,ARM,2024,Active
Brambles,"Cabernet Sauvignon",red,,0.23,EB3,,,1.4,0.75,9524,2192.6666666666665,M337,ARM,2024,Active
Brambles,"Cabernet Sauvignon",red,,0.23,EB3,,,1.4,0.75,9524,2192.6666666666665,M191,ARM,2025,Active
Brambles,"Cabernet Sauvignon",red,,0.276,EB2,,,1.4,0.75,9524,2624,M337,ARM,2024,Active
Brambles,"Cabernet Sauvignon ",red,,0.04564,RB2,,,1.4,0.75,9524,434.6666666666667,M337,ARM,2025,Active
Brambles,"Cabernet Sauvignon ",red,,0.09911801763964721,"RB 1",,,1.4,0.75,9524,944,"Houghtons Willespie",Wagtail,2025,Active
Brambles,"Cabernet Sauvignon ",red,,0.12802999999999998,"RB 1",,,1.4,0.75,9524,1219.3333333333333,M337,ARM,2025,Active
Brambles,"Cabernet Sauvignon ",red,,0.15694,"RB 1",,,1.4,0.75,9524,1494.6666666666667,"Houghtons ","Vic Point",2025,Active
Brambles,"Cabernet Sauvignon ",red,,0.19396999999999998,RB2,,,1.4,0.75,9524,1847.3333333333333,M412,ARM,2025,Active
Brambles,"Cabernet Sauvignon ",red,,0.3138737225255495,"RB 1",,,1.4,0.75,9524,2989.3333333333335,"Houghtons Mosswood",Wagtail,2025,Active
Brambles,Chardonnay,white,,0.20635999999999996,WB1,,,1.4,0.75,9524,1965.3333333333333,Gingin,ARM,2024,Active
Brambles,Chardonnay,white,,0.36063999999999996,WB1,,,1.4,0.75,9524,3434.6666666666665,Gingin,ARM,2024,Active
Brambles,Malbec,red,,0.342,RB3,,,1.4,0.75,9524,3260,Cl1056,ARM,2025,Active
Brambles,Merlot,red,,0.09323813523729525,EB4,,,1.4,0.75,9524,888,181,ARM,2025,Active
Brambles,Merlot,red,,0.20719999999999997,EB4,,,1.4,0.75,9524,1973.3333333333333,181,ARM,2024,Active
Brambles,"Petit Verdot",red,,0.08259999999999999,"RB 1",,,1.4,0.75,9524,786.6666666666666,"Petrus CH8",ARM,2025,Active
Brambles,"Pinot Noir",red,,0.10359792804143916,EB4,,,1.4,0.75,9524,986.6666666666666,MV6,ARM,2025,Active
Buckingham,"Cabernet Sauvignon",red,,0.14997000599880023,1,12,,3,2,1667,250,,,2007,Active
Buckingham,Merlot,red,,0.02519496100779844,3,2,,3,2,1667,42,,,2007,Active
Buckingham,Shiraz,red,,0.07978404319136173,2,7,,3,2,1667,133,,,2007,Active
Burnside,Chardonnay,white,,0.114,10,19,"1 to 19",1.3,1,7692,876.888,95,"Vic Pt/ARM",2020/2022,Active
Burnside,Chardonnay,white,,0.295,5,17,"119 to 135",1.3,1,7692,2269.14,96,"Victory Point",2021/2021,Active
Burnside,Chardonnay,white,,0.323,6,23,"136 to 155",1.3,1,7692,2484.516,277,"Victory Point",2021/2022,Active
Burnside,Chardonnay,white,,0.43499999999999994,13,37,"1 to 37",1.3,1,10256,4461.36,Gingin,Forrest,2020,Active
Burnside,Chardonnay,white,,0.496,1,41,"1 to 41",1.3,1,7692,3815.232,95,"Victory Point",2020,Active
Burnside,Chardonnay,white,,1.342,4,60,"59 to 118",1.3,1,7692,10322.664,Gingin,Forrest,2020,Active
Burnside,"Pinot Noir",red,,0.0477,8,12,"189 to 200",1.3,0.75,7692,366.9084,Droopy,"Glen Harding",,Active
Burnside,"Pinot Noir",red,,0.05399999999999999,9,18,"201 to 218",1.3,0.75,10256,553.824,386,Kerfuffle,2022,Active
Burnside,"Pinot Noir",red,,0.10400000000000001,11,10,"1 to 10",1.3,0.75,10256,1066.624,115,"Victory Point",2021,Active
Burnside,"Pinot Noir",red,,0.11000000000000001,12,9,"1 to 9",1.3,0.75,10256,1128.16,777,"Victory Point",2021,Active
Burnside,"Pinot Noir",red,,0.185,2,9,"42 to 50",1.3,0.75,10256,1897.36,777,"Glen Harding",,Active
Burnside,"Pinot Noir",red,,0.187,3,8,"51 to 58",1.3,0.75,10256,1917.872,115,"Glen Harding",,Active
Burnside,"Pinot Noir",red,,0.201,7,30,"156 to 188",1.3,0.75,10256,2061.456,MV6,"Glen Harding",2022,Active
"Cape Falls","Cabernet Franc",red,,0.5131199999999999,"B17-Cabernet Franc",38,"59 - 95",2,1.2,4166.666666666667,2138,214,ARM,,Active
"Cape Falls","Cabernet Sauvignon",red,,0.6172799999999999,"B18-Cabernet Sauvignon",49,"50 - 99",2,1.2,4166.666666666667,2572,337,ARM,,Active
"Cape Falls","Cabernet Sauvignon",red,,1.30704,"B17-Cabernet Sauvignon",58,"1 to 58",2,1.2,4166.666666666667,5446,337,ARM,,Active
"Cape Falls",Chardonnay,white,,0.663,B11-Chard,46,"1 to 45",2,1,5000,3315,Gingin,ARM,,Active
"Cape Falls",Chardonnay,white,,1.1478,B12-Chard,41,"1 to 41",2,1,5000,5739,Gingin,ARM,,Active
"Cape Falls",Merlot,red,,0.8853599999999999,B18-Merlot,49,"1 to 49",2,1.2,4166.666666666667,3689,181,ARM,,Active
"Chapman Creek","Cabernet Franc",red,,0.34743474347434744,1,19,"1 to 19",3,1.5,2222,772,,,,Active
"Chapman Creek","Cabernet Sauvignon",red,,1.9392575928009,6,63,"1 to 63",2.5,1.5,2667,5172,,,,Active
"Chapman Creek",Chardonnay,white,New,1.0678665166854142,2b,20,"1 to 20",2.5,1.5,2667,2848,Gingin,Forrest,2020,Active
"Chapman Creek",Chardonnay,white,,1.5500562429696287,3,39,"1 to 39",2.5,1.5,2667,4134,,,,Active
"Chapman Creek",Chardonnay,white,,2.1184851893513312,4,50,"40 to 89",2.5,1.5,2667,5650,,,,Active
"Chapman Creek","Chenin Blanc",white,,0.9846269216347957,2a,19,"1 to 19",2.5,1.5,2667,2626,,,,Active
"Chapman Creek",Merlot,red,New,0.5898012748406449,7,9,"1 to 9",2.5,1.5,2667,1573,,,,Active
"Chapman Creek",Merlot,red,,0.9595050618672666,5,27,"1 to 27",2.5,1.5,2667,2559,,,,Active
"Chapman Creek","Sauvignon Blanc",white,,1.485939257592801,8,29,"1 to 29",2.5,1.5,2667,3963,,,,Active
"Chapman Creek (Yelverton)","Cabernet Sauvignon",red,,2.0694,10,35,"1 to 35",3,2,1666.6666666666667,3449,,,,Active
"Chapman Creek (Yelverton)",Chardonnay,white,,2.5991999999999997,9,55,"1-11,1-44",3,2,1666.6666666666667,4332,,,,Active
"Chapman Creek",Malbec,red,Yelverton,1.5488902219556089,12,20,"1 to 20",3,2,1667,2582,,"Victory Point",2018,Active
"Chapman Creek","Sauvignon Blanc",white,Yelverton,1.6092,11,24,"1 to 24",3,2,1666.6666666666667,2682,,,,Active
"Chapman Creek",Semillon,white,Yelverton,1.2792,14,24,"1 to 24",3,2,1666.6666666666667,2132,,,,Active
"Chapman Creek",,,Yelverton,0,13,20,"1 to 20",3,2,1666.6666666666667,,,,,Fallow
Collins,"Cabernet Sauvignon",red,,0.09598080383923216,1,,,3,2,1667,160,,,,Active
Collins,Merlot,red,,0.04799040191961608,2,,,3,2,1667,80,,,,Active
Crane,"Sauvignon Blanc",white,,10.20995800839832,1,85,"1 to 85",3,2,1667,17020,,,,Active
"Forest Springs",Chardonnay,white,Grafts,0.79,"MU 1",12,"1 to 12",3.3,1.8,1684,1200,Gingin,Forrest,,Active
"Forest Springs",Chardonnay,white,,0.8,"MU 2",24,"13 to 36",3.3,1.8,1684,1341,Gingin,"Cullens- Treeton",2019,Active
"Hannaford ","Cabernet Sauvignon",red,,0.9297929792979298,"2 west",23,"1 to 23",2.8,1.6,2222,2066,,,2012,Active
"Hannaford ","Cabernet Sauvignon",red,,0.9401440144014401,"1 east",21,"1 to 21",2.8,1.6,2222,2089,,,1996,Active
Kaards,"Cabernet Sauvignon",red,,0.38930885529157666,3a,7,"83 to 90",3,1.8,1852,721,"Houghton- super","Moss Wood",2019,Active
Kaards,"Cabernet Sauvignon",red,,4.55,1,67,"1 to 67",3,1.8,1852,8426.6,,,2002,Active
Kaards,Chardonnay,white,,0.9331200000000001,2,15,"68 to 82",3,1.44,2314.814814814815,2160,Gingin,Forrest,2022,Active
Kaards,,,,0.32883369330453566,3b,9,"91 to 99",3,1.8,1852,609,"Houghton- super","Moss Wood",2020,Fallow
"Krek Mueller  ","Cabernet Sauvignon",red,East,1.7851644506648006,4,49,"1 to 49",3.5,2,1429,2551,126,126,1998,Active
"Krek Mueller  ","Cabernet Sauvignon",red,New,0.5106382978723404,10,7,"43 to 49",3.5,1.6,1786,912,"QA 45","QA 45",2016,Active
"Krek Mueller  ","Cabernet Sauvignon",red,West,1.6473058082575227,3,25,"1 to 25",3.5,2,1429,2354,126,126,1998,Active
"Krek Mueller  ","Cabernet Sauvignon",red,,1.079776067179846,6,14,"1 to 14",3.5,2,1429,1543,"Mercier 191/337","Mercier 191/337",1998,Active
"Krek Mueller  ",Chardonnay,white,,0.6159014557670772,1b,5,"1 to 5",3.5,1.6,1786,1100,Gingin,Gingin,2018,Active
"Krek Mueller  ",Chardonnay,white,,1.5402379286214136,1a,16,"1 to 16",3.5,2,1429,2201,Gingin,Gingin,1998,Active
"Krek Mueller  ",Chardonnay,white,,1.6798655211057154,1b,8,"6 to 21",2.8,1.33,2677,4497,,,,Active
